# Dépenses fiscales (« niches ») — annexe Voies et Moyens tome II, PLF 2023.
#
# POURQUOI CE FICHIER : c'est la part de l'argent public qui « sort » sans
# bénéficiaire nominatif — l'État en connaît le coût PAR DISPOSITIF mais ne
# publie (et souvent ne connaît) aucun bénéficiaire ligne à ligne. Ce fichier
# alimente la décomposition de l'estimation affichée sur l'accueil.
#
# Source officielle : PLF 2023, Évaluation des Voies et Moyens tome II,
# publié sur data.economie.gouv.fr (dataset
# plf2023_voies_et_moyens_t2_liste_des_depenses_fiscales, XLSX joint,
# onglets « Chiffrages » et « Bénéficiaires » fusionnés par numéro).
# DERNIER MILLÉSIME MACHINE-READABLE : le PLF 2024 ne publie que la liste
# sans chiffrage, les PLF 2025-2026 uniquement des PDF (constat 2026-07-04).
#
# Montants en MILLIONS d'euros. Légende officielle : « - » = aucun effet,
# « ε » = < 0,5 M€, « nc » = non calculé. La colonne la plus complète est la
# réalisation 2021 (333 dispositifs chiffrés sur 465).
impot_categorie;sous_categorie;sous_sous_categorie;numero;libelle;chiffrage_2021_realisation_Meur;chiffrage_2022_prevision_Meur;chiffrage_2023_prevision_Meur;beneficiaires_nature;beneficiaires_nombre
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110228;Réduction d'impôt au titre de la souscription de parts de fonds d'investissement de proximité (FIP);13;17;17;Ménages;9727
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110229;Réduction d'impôt au titre des intérêts d'emprunts souscrits par une personne physique en vue de financer la reprise d'une entreprise exploitée sous forme de société soumise à l'impôt sur les sociétés;ε;ε;-;Ménages;515
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110236;Crédit d'impôt pour dépenses d'équipements de l'habitation principale en faveur de l'aide aux personnes;57;77;85;Ménages;61100
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110238;Crédit d'impôt à raison des intérêts des prêts souscrits entre le 1er septembre 2005 et le 31 décembre 2008 en vue du financement de leurs études par les personnes âgées de vingt-cinq ans au plus;ε;-;-;Ménages;2
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110239;Réduction d'impôt sur le revenu à raison des intérêts perçus au titre du différé de paiement accordé à des exploitants agricoles;ε;ε;ε;Ménages;10
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110240;Crédit d'impôt au titre des dépenses engagées par les exploitants agricoles pour assurer leur remplacement;19;20;22;Ménages;31647
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110241;Réduction d'impôt au titre des cotisations versées aux associations syndicales autorisées ayant pour objet la réalisation de travaux de prévention en vue de la défense des forêts contre les incendies sur des terrains inclus dans les bois classés;ε;ε;ε;Ménages;5712
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110242;Réduction d'impôt pour frais de scolarité dans l'enseignement supérieur;205;215;215;Ménages;1437595
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110244;Réduction d'impôt au titre des souscriptions en numéraire, réalisées entre le 1er janvier 2006 et le 31 décembre 2023, au capital de sociétés anonymes agréées ayant pour seule activité le financement d’œuvres cinématographiques ou audiovisuelles;29;34;35;Ménages;7513
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110245;Réduction d'impôt au titre de la souscription de parts de fonds d'investissement de proximité (FIP) investis dans les entreprises corses;8;7;7;Ménages;3765
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110246;Crédit d'impôt au titre de l'emploi d'un salarié à domicile;4734;5730;7950;Ménages;4292689
